vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_cilindrada,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto
TOYOTA,LAND CRUISER 200,SUV,4x4,4461.0,AUTOMATICA,GAS OIL,EURO V,260.7,11.56,8.94,9.9
RENAULT,FLUENCE 2.0 16V,4 Puertas,4x2,1997.0,CVT,NAFTA,EURO V,175.4,10.5,6.1,7.7
RENAULT,DUSTER 2.0 16v,5 Puertas,4x2,1998.0,MANUAL,NAFTA,EURO V,198.86,11.13,6.98,8.52
RENAULT,DUSTER 2.0 16v 4X4,5 Puertas,4x4,1998.0,MANUAL,NAFTA,EURO V,199.74,11.2,7.01,8.55
CITROËN,DS4,Coupe,4x2,1598.0,AUTOMATICA,NAFTA,EURO V,177.6,10.6,6.0,7.7
CITROËN,DS3,Coupe,4x2,1598.0,MANUAL,NAFTA,EURO V,140.8,8.2,4.7,6.0
LEXUS,GS450H,4 Puertas,4x2,3456.0,CVT,NAFTA / ELECTRICIDAD,EURO V,145.0,6.6,5.9,6.2
CITROËN,DS3,Coupe,4x2,1598.0,MANUAL,NAFTA,EURO V,141.2,8.0,4.9,6.0
PEUGEOT,208,5 Puertas,4x2,1587.0,MANUAL,NAFTA,EURO V,173.77,10.17,5.84,7.44
TOYOTA,RAV4,SUV,4x4,2494.0,AUTOMATICA,NAFTA,EURO V,197.7,11.4,6.9,8.5
FORD,FOCUS,5 Puertas,4x2,1596.0,MANUAL,NAFTA,EURO V,152.55,9.24,4.98,6.55
PEUGEOT / CITROËN,301 / C-ELYSÉE,4 Puertas,4x2,1587.0,MANUAL,NAFTA,EURO V,153.9,8.8,5.3,6.5
HYUNDAI,H-100,Camion,4x2,2497.0,MANUAL,GAS OIL,EURO V,256.0,12.4,8.2,9.7
HYUNDAI,GRAND i10,5 Puertas,4x2,1248.0,MANUAL,NAFTA,EURO V,136.64,7.46,4.97,5.89
HYUNDAI,GRAND i10,5 Puertas,4x2,1248.0,AUTOMATICA,NAFTA,EURO V,149.57,8.11,5.46,6.44
RENAULT,DUSTER OROCH 2.0 16v,PICK UP,4x2,1998.0,MANUAL,NAFTA,EURO V,181.53,10.4,6.23,7.78
HYUNDAI,H350,Furgon,4x2,2497.0,MANUAL,GAS OIL,EURO V,229.0,10.5,7.6,8.7
HYUNDAI,H350,Camion,4x2,2497.0,MANUAL,GAS OIL,EURO V,261.0,12.2,8.6,9.9
HYUNDAI,H350,Furgon,4x2,2497.0,MANUAL,GAS OIL,EURO V,246.0,11.4,8.1,9.4
