vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_id_motor,vehiculo_cilindrada,vehiculo_potencia,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,lca_numero,fecha_firma,ensayo_gei_numero,ensayo_gei_laboratorio,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto,id_etiqueta
TOYOTA,LAND CRUISER 200,SUV,4x4,TOYOTA 1VD-FTV,4461,,AUTOMÁTICA,GAS OIL,EURO V,,04/10/2017,H1860666086/241,VINÇOTTE nv,260.7,11.56,8.94,9.9,000001A
RENAULT,FLUENCE 2.0 16V,SEDÁN 4 PUERTAS,4x2,RENAULT M4RK7,1997,,CVT,NAFTA,EURO V,,22/06/2016, 09/09790,UTAC,175.4,10.5,6.1,7.7,000178A
RENAULT,DUSTER 2.0 16v,SEDÁN 5 PUERTAS,4x2,RENAULT F4R E4,1998,105,MANUAL,NAFTA,EURO V,,,R1-0210/17,DELPHI,198.86,11.13,6.98,8.52,000650C
RENAULT,DUSTER 2.0 16v 4X4,SEDÁN 5 PUERTAS,4X4,RENAULT F4R E4,1998,105,MANUAL,NAFTA,EURO V,,,R1-0209/17,DELPHI,199.74,11.2,7.01,8.55,000659C
CITROËN,DS4,COUPÉ 3 + 2 PUERTAS,4x2,CITROËN EP6CDTM (5FM),1598,,AUTOMÁTICA,NAFTA,EURO V,,11/10/2011,11/04511,UTAC,177.6,10.6,6,7.7,000106A
CITROËN,DS3,BERLINA 3 PUERTAS,4x2,CITROËN EP6CDT (5FV),1598,,MANUAL,NAFTA,EURO V,,21/12/2011,11/02413,UTAC,140.8,8.2,4.7,6,000118A
LEXUS,GS450H,SEDÁN 4 PUERTAS,4x2,TOYOTA 2GR-FXE,3456,,CVT,NAFTA / ELECTRICIDAD,EURO V,,31/08/2016,H16600550047/066,VINÇOTTE nv,145,6.6,5.9,6.2,000214B
CITROËN,DS3,BERLINA 3 PUERTAS,4x2,CITROËN EP6C (5FS) ,1598,,MANUAL,NAFTA,EURO V,,01/10/2012,09/02572,UTAC,141.2,8,4.9,6,000120A
PEUGEOT,208,BERLINA 5 PUERTAS,4x2,EC5 (NFP),1587,83,MANUAL,NAFTA,EURO V,,19/04/2018,R1-0220/17,DELPHI,173.77,10.17,5.84,7.44,000415B
TOYOTA,RAV4,SUV,4x4,TOYOTA 2AR-FE,2494,,AUTOMÁTICA,NAFTA,EURO V,,31/01/2018,H1660550047/253 Ext. 02,VINÇOTTE nv,197.7,11.4,6.9,8.5,000002A
FORD,FOCUS,HATCH 5 PUERTAS SEDÁN 5 PUERTAS,4x2,FORD 1.6L Sigma I-4,1596,,MANUAL,NAFTA,EURO V,,31/01/2017,ESR340701,VCA,152.55,9.24,4.98,6.55,000135A
PEUGEOT / CITROËN,301 / C-ELYSÉE ,BERLINA 4 PUERTAS,4x2,PEUGEOT / CITROËN EC5 (NFP),1587,,MANUAL,NAFTA,EURO V,,07/10/2013,12/03150,UTAC,153.9,8.8,5.3,6.5,000352B
HYUNDAI,H-100,CHASIS LARGO / CHASIS EXTRA LARGO,4x2,HYUNDAI D4CB,2497,,MANUAL,GAS OIL,EURO V,,24/01/2018,KR12050004,IDIADA,256,12.4,8.2,9.7,000193B
HYUNDAI,GRAND i10,SEDÁN 5 PUERTAS,4x2,HYUNDAI G4LA,1248,,MANUAL,NAFTA,EURO V,,31/01/2017,KR14040131,IDIADA,136.64,7.46,4.97,5.89,000137A
HYUNDAI,GRAND i10,SEDÁN 5 PUERTAS,4x2,HYUNDAI G4LA,1248,,AUTOMÁTICA,NAFTA,EURO V,,31/01/2017,KR14040132,IDIADA,149.57,8.11,5.46,6.44,000138A
RENAULT,DUSTER OROCH 2.0 16v,CAMIONETA 4 PUERTAS,4x2,RENAULT F4R E4,1998,,MANUAL,NAFTA,EURO V,,05/05/2015,R1-0043/15,DELPHI,181.53,10.4,6.23,7.78,000642C
HYUNDAI,H350,FURGÓN / CHASIS CON CABINA,4x2,HYUNDAI D4CB,2497,,MANUAL (RF 3.538),GAS OIL,EURO V,,24/06/2015,KR14080042,IDIADA,229,10.5,7.6,8.7,000197B
HYUNDAI,H350,CAMIÓN,4x2,HYUNDAI D4CB,2497,,MANUAL (RF 3.538),GAS OIL,EURO V,,24/06/2015,KR14080042,IDIADA,261,12.2,8.6,9.9,000198B
HYUNDAI,H350,FURGÓN / CHASIS CON CABINA,4x2,HYUNDAI D4CB,2497,,MANUAL (RF 3.917),GAS OIL,EURO V,,24/06/2015,KR14080044,IDIADA,246,11.4,8.1,9.4,000199B
HYUNDAI,H350,CAMIÓN,4x2,HYUNDAI D4CB,2497,,MANUAL (RF 3.917),GAS OIL,EURO V,,24/06/2015,KR14080044,IDIADA,261,12.2,8.6,9.9,000200B
SUZUKI,VITARA,RURAL 5 PUERTAS 2WD,4x2,SUZUKI M16A,1586,,MANUAL,NAFTA,EURO V,,24/06/2015,RDW-83R-0023329,RDW,139.26,7.26,5.26,6,000248B
SUZUKI,VITARA,RURAL 5 PUERTAS 2WD,4x2,SUZUKI M16A,1586,,AUTOMÁTICA,NAFTA,EURO V,,24/06/2015,RDW-83R-0027134,RDW,140.23,7.48,5.22,6.05,000249B
SUZUKI,VITARA,RURAL 5 PUERTAS 4WD,4x4,SUZUKI M16A,1586,,AUTOMÁTICA,NAFTA,EURO V,,24/06/2015,RDW-83R-0027135,RDW,147.96,7.88,5.51,6.38,000250B
CHEVROLET,MONTANA 1.8,FURGONETA,4x2,CHEVROLET A18XE (1.8 SOHC),1796,,MANUAL,NAFTA,EURO V,,31/01/2017,CPLE 085/2016,GENERAL MOTORS DO BRASIL LTDA.,198.87,11.35,6.68,8.4,000213B
LIFAN,X50,SEDÁN 5 PUERTAS,4x2,LIFAN LF479Q2-B,1498,,MANUAL,NAFTA,EURO V,,03/07/2015,13-00377-CP-SHA-00,TÜV SÜD Auto Service,183,10.1,6.3,7.7,000172A
LIFAN,X50,SEDÁN 5 PUERTAS,4x2,LIFAN LF479Q2-B,1498,,CVT,NAFTA,EURO V,,03/07/2015,13-00378-CP-SHA-00,TÜV SÜD Auto Service,187,10.2,6.5,7.8,000173A
TOYOTA,LAND CRUISER PRADO,TODO TERRENO,4x4,TOYOTA 1GR-FE,3956,202,AUTOMÁTICA,NAFTA,EURO V,,20/11/2017,H1860666086/106,VINÇOTTE nv,267.8,15.42,9.2,11.49,000505B
FORD,S-MAX,SEDÁN 5 PUERTAS,4x2,FORD 2.0L GTDI,1999,,AUTOMÁTICA,NAFTA,EURO VI,,11/08/2015,T02 USQ305855-3,VCA,204,12.5,6.9,8.9,000105A
BMW,118i,SEDÁN 3/5 PUERTAS,4x2,BMW B38B15A (100 kW),1499,,AUTOMÁTICA,NAFTA,EURO VI b,,04/09/2015,201535562,DEKRA,122,6.4,4.6,5.2,000124A
HYUNDAI,TUCSON,SUV,4x2,HYUNDAI G4NA,1999,,MANUAL,NAFTA,EURO V,,10/11/2015,VSQ316426,VCA,186.1,10.82,6.2,7.7,000174A
HYUNDAI,TUCSON,SUV,4x4,HYUNDAI G4NA,1999,,MANUAL,NAFTA,EURO V,,10/11/2015,VSQ316426,VCA,192.9,11.03,6.7,8.3,000175A
HYUNDAI,TUCSON,SUV,4x2,HYUNDAI G4NA,1999,,AUTOMÁTICA,NAFTA,EURO V,,10/11/2015,VSQ316426,VCA,188.98,11.26,6.31,8.1,000176A
HYUNDAI,TUCSON,SUV,4x4,HYUNDAI G4NA,1999,,AUTOMÁTICA,NAFTA,EURO V,,10/11/2015,VSQ316426,VCA,200.06,11.59,6.86,8.6,000177A
BMW,320i,SEDÁN 4 PUERTAS,4x2,BMW B48B20A,1998,135,AUTOMÁTICA,NAFTA,EURO VI b,,10/11/2016,201535474,DEKRA,134,7.6,4.7,5.8,000539C
HYUNDAI,TUCSON,SUV,4x2 / 4x4,HYUNDAI D4HA,1995,,MANUAL,DIESEL,EURO V,,20/11/2015,VSR337023,VCA,146,6.9,4.8,5.6,000189B
HYUNDAI,TUCSON,SUV,4x2,HYUNDAI D4HA,1995,,AUTOMÁTICA,DIESEL,EURO V,,20/11/2015,VSQ316435,VCA,159,7.9,5.1,6.1,000190B
