indice_tiempo,idempresa,cuit,empresa,direccion,localidad,provincia,idproducto,producto,idtipohorario,tipohorario,precio,fecha_vigencia,idempresabandera,empresabandera,latitud,longitud,geojson,fecha_hora,Anio,Mes
2017-04-06 00:00:00,8943,30-71251168-7,1913 SRL,Julio A Roca 715,GOBERNADOR COSTA,CHUBUT,19,Gas Oil Grado 2,2,Diurno,14.96,2017/04/06 20:51:00,26,AXION,-44.050662,-70.58304100000001,"{""type"":""Point"",""coordinates"":[-70.583041,-44.050662]}",2017-04-06 20:51:00,2017,4
2017-04-06 00:00:00,8943,30-71251168-7,1913 SRL,Julio A Roca 715,GOBERNADOR COSTA,CHUBUT,19,Gas Oil Grado 2,3,Nocturno,14.96,2017/04/06 20:51:00,26,AXION,-44.050662,-70.58304100000001,"{""type"":""Point"",""coordinates"":[-70.583041,-44.050662]}",2017-04-06 20:51:00,2017,4
2021-02-15 00:00:00,1284,30-56342987-5,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,19,Gas Oil Grado 2,2,Diurno,77.5,2021/02/15 00:00:00,2,YPF,-33.67954,-65.46988,"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}",2021-02-15 00:00:00,2021,2
2021-02-15 00:00:00,1284,30-56342987-5,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,19,Gas Oil Grado 2,3,Nocturno,77.5,2021/02/15 00:00:00,2,YPF,-33.67954,-65.46988,"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}",2021-02-15 00:00:00,2021,2
2021-02-15 00:00:00,9405,30-71512545-1,2MIL 3C S.R.L.,AV. 101 Nº 6211 (RUTA 8),SAN MARTIN,BUENOS AIRES,19,Gas Oil Grado 2,2,Diurno,75.6,2021/02/15 12:00:00,28,PUMA,-34.561285999999996,-58.588248,"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}",2021-02-15 12:00:00,2021,2
2021-02-15 00:00:00,9405,30-71512545-1,2MIL 3C S.R.L.,AV. 101 Nº 6211 (RUTA 8),SAN MARTIN,BUENOS AIRES,19,Gas Oil Grado 2,3,Nocturno,75.6,2021/02/15 12:00:00,28,PUMA,-34.561285999999996,-58.588248,"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}",2021-02-15 12:00:00,2021,2
2021-02-19 00:00:00,7544,30-70944428-6,44 LA PLATA SRL,44 y 142 2281,LA PLATA,BUENOS AIRES,19,Gas Oil Grado 2,2,Diurno,77.3,2021/02/19 15:11:00,4,SHELL C.A.P.S.A.,-34.943490000000004,-57.99169200000001,"{""type"":""Point"",""coordinates"":[-57.991692,-34.94349]}",2021-02-19 15:11:00,2021,2
2021-02-19 00:00:00,7544,30-70944428-6,44 LA PLATA SRL,44 y 142 2281,LA PLATA,BUENOS AIRES,19,Gas Oil Grado 2,3,Nocturno,77.3,2021/02/19 15:11:00,4,SHELL C.A.P.S.A.,-34.943490000000004,-57.99169200000001,"{""type"":""Point"",""coordinates"":[-57.991692,-34.94349]}",2021-02-19 15:11:00,2021,2
2021-02-17 00:00:00,2530,30-70833125-9,4 GNC  S.A.,LA QUEMADA 2189,FIRMAT,SANTA FE,19,Gas Oil Grado 2,2,Diurno,76.9,2021/02/17 06:00:00,1,BLANCA,-33.46387,-61.49651,"{""type"":""Point"",""coordinates"":[-61.49651,-33.46387]}",2021-02-17 06:00:00,2021,2
2021-02-17 00:00:00,2530,30-70833125-9,4 GNC  S.A.,LA QUEMADA 2189,FIRMAT,SANTA FE,19,Gas Oil Grado 2,3,Nocturno,76.9,2021/02/17 06:00:00,1,BLANCA,-33.46387,-61.49651,"{""type"":""Point"",""coordinates"":[-61.49651,-33.46387]}",2021-02-17 06:00:00,2021,2
2021-01-19 00:00:00,6661,30-61502503-4,501AGROPETROLERA CHAJARI S.R.L.,RUTA 14 KM 321,CHAJARI,ENTRE RIOS,19,Gas Oil Grado 2,2,Diurno,75.87,2021/01/19 16:41:00,3,ESSO PETROLERA ARGENTINA S.R.L,-30.8185,-58.04425,"{""type"":""Point"",""coordinates"":[-58.04425,-30.8185]}",2021-01-19 16:41:00,2021,1
2021-01-19 00:00:00,6661,30-61502503-4,501AGROPETROLERA CHAJARI S.R.L.,RUTA 14 KM 321,CHAJARI,ENTRE RIOS,19,Gas Oil Grado 2,3,Nocturno,75.87,2021/01/19 16:41:00,3,ESSO PETROLERA ARGENTINA S.R.L,-30.8185,-58.04425,"{""type"":""Point"",""coordinates"":[-58.04425,-30.8185]}",2021-01-19 16:41:00,2021,1
2021-02-22 00:00:00,9854,33-71633190-9,59 SA,AV.SANTA FE 2428,MARTINEZ,BUENOS AIRES,19,Gas Oil Grado 2,2,Diurno,76.2,2021/02/22 13:09:00,26,AXION,-34.492969,-58.49837900000001,"{""type"":""Point"",""coordinates"":[-58.498379,-34.492969]}",2021-02-22 13:09:00,2021,2
2021-02-22 00:00:00,9854,33-71633190-9,59 SA,AV.SANTA FE 2428,MARTINEZ,BUENOS AIRES,19,Gas Oil Grado 2,3,Nocturno,76.2,2021/02/22 13:09:00,26,AXION,-34.492969,-58.49837900000001,"{""type"":""Point"",""coordinates"":[-58.498379,-34.492969]}",2021-02-22 13:09:00,2021,2
2021-02-18 00:00:00,2842,30-70841705-6,72 GAS S.A.,CALLE 72  780,LA PLATA,BUENOS AIRES,19,Gas Oil Grado 2,2,Diurno,76.8,2021/02/18 00:00:00,26,AXION,-34.934754,-57.930918999999996,"{""type"":""Point"",""coordinates"":[-57.930919,-34.934754]}",2021-02-18 00:00:00,2021,2
2021-02-18 00:00:00,2842,30-70841705-6,72 GAS S.A.,CALLE 72  780,LA PLATA,BUENOS AIRES,19,Gas Oil Grado 2,3,Nocturno,76.8,2021/02/18 00:00:00,26,AXION,-34.934754,-57.930918999999996,"{""type"":""Point"",""coordinates"":[-57.930919,-34.934754]}",2021-02-18 00:00:00,2021,2
2020-10-19 00:00:00,6952,30-68958934-7,7 DE AGOSTO S.R.L.,ruta 22 km 1200,ALLEN,RIO NEGRO,19,Gas Oil Grado 2,2,Diurno,59.42,2020/10/19 09:47:00,3,ESSO PETROLERA ARGENTINA S.R.L,-39.01556,-67.83639000000001,"{""type"":""Point"",""coordinates"":[-67.83639,-39.01556]}",2020-10-19 09:47:00,2020,10
2020-10-19 00:00:00,6952,30-68958934-7,7 DE AGOSTO S.R.L.,ruta 22 km 1200,ALLEN,RIO NEGRO,19,Gas Oil Grado 2,3,Nocturno,59.42,2020/10/19 09:47:00,3,ESSO PETROLERA ARGENTINA S.R.L,-39.01556,-67.83639000000001,"{""type"":""Point"",""coordinates"":[-67.83639,-39.01556]}",2020-10-19 09:47:00,2020,10
2021-02-18 00:00:00,2359,30-70720646-9,7 Y 511 S.A.,Av. 7 2060,LA PLATA,BUENOS AIRES,19,Gas Oil Grado 2,2,Diurno,76.8,2021/02/18 17:53:00,26,AXION,-34.883186,-57.99264399999999,"{""type"":""Point"",""coordinates"":[-57.992644,-34.883186]}",2021-02-18 17:53:00,2021,2
2021-02-18 00:00:00,2359,30-70720646-9,7 Y 511 S.A.,Av. 7 2060,LA PLATA,BUENOS AIRES,19,Gas Oil Grado 2,3,Nocturno,76.8,2021/02/18 17:53:00,26,AXION,-34.883186,-57.99264399999999,"{""type"":""Point"",""coordinates"":[-57.992644,-34.883186]}",2021-02-18 17:53:00,2021,2
2021-01-16 00:00:00,2306,30-68604387-4,9 DE JULIO COMBUSTIBLES SRL,AV. 9 DE JULIO 1501,RESISTENCIA,CHACO,19,Gas Oil Grado 2,2,Diurno,76.89,2021/01/16 16:30:00,3,ESSO PETROLERA ARGENTINA S.R.L,-27.463009999999997,-58.97305,"{""type"":""Point"",""coordinates"":[-58.97305,-27.46301]}",2021-01-16 16:30:00,2021,1
