station_id,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,rental_methods,groups,obcn,nearby_distance,cross_street
2,002 - Retiro I,SMARTLITMAPFRAME,-34.5924233,-58.3747151,0.0,"Ramos Mejia, Jose Maria, Dr. Av. & Del Libertador Av.",11111,20,"['KEY', 'TRANSITCARD', 'PHONE']",['RETIRO'],,1000.0,
3,003 - ADUANA,SMARTLITMAPFRAME,-34.611032,-58.3682604,0.0,Moreno & Av Paseo Colon,11111,20,"['KEY', 'TRANSITCARD', 'PHONE']",['MONSERRAT'],,1000.0,Moreno & Av Paseo Colon
4,004 - Plaza Roma,SMARTLITMAPFRAME,-34.601822,-58.368781,0.0,Lavalle & Bouchard,11111,20,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,1000.0,
5,005 - Plaza Italia,SMARTLITMAPFRAME,-34.5805497,-58.4209542,0.0,Av. Sarmiento 2601,1111,42,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,1000.0,
6,006 - Parque Lezama,SMARTLITMAPFRAME,-34.628526,-58.369758,0.0,"Avenida Martin Garcia, 295",1111,20,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN TELMO'],,1000.0,
7,007 - OBELISCO,SMARTLITMAPFRAME,-34.606498,-58.381098,0.0,CARLOS PELEGRINI 215,11111,16,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,1000.0,CARLOS PELEGRINI 215
8,008 - Congreso,SMARTLITMAPFRAME,-34.6094218,-58.3893364,0.0,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",11111,24,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,1000.0,
9,009 - Parque Las Heras,SMARTLITMAPFRAME,-34.585443,-58.407741,0.0,"2300 Diaz, Cnel. Av. & French",11111,24,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,1000.0,
12,012 - Plaza Vicente Lopez,SMARTLITMAPFRAME,-34.5927096,-58.388807,0.0,Parana & Juncal,11111,16,"['KEY', 'TRANSITCARD', 'PHONE']",['RECOLETA'],,1000.0,
13,013 - ONCE,SMARTLITMAPFRAME,-34.61009,-58.406,0.0,Av. Pueyrredon & Av. Rivadavia,1111,30,"['KEY', 'TRANSITCARD', 'PHONE']",['BALVANERA'],,1000.0,Av. Pueyrredon & Av. Rivadavia
14,014 - Pacifico,SMARTLITMAPFRAME,-34.577424,-58.426387,0.0,"Santa Fe Av. & Bullrich, Int. Av.",11111,30,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,1000.0,
